"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
042c82e0-e788-4d53-b9d8-a7d34c19f786,PART #,Left,3.0,"#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,10.0
3244ac5e-4acb-4d6e-8a30-a930cb2fb0f8,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,20.0
392cfbf9-5621-4b3e-bc73-16087d55b90b,DESCRIPTION,Left,3.0,"#N/A","#N/A",30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,50.0
3ef2c75f-cf99-4452-8bcd-a66335b93c47,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,35.0
3fa75e7d-3867-48de-8dad-8a582eb9ca5b,QTY,Left,3.0,"#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,5.0
47ae64f9-1f08-4276-bd82-ad58cc3d8329,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,10.0
5cdb05e9-e170-4a22-901a-3c3a438670ee,EXTENDED,Right,3.0,"#N/A","#N/A",60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,15.0
6051800f-f065-4607-ace0-87d4de606e3f,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,10.0
7cae0761-7e2c-4044-83fe-e8470f2e061e,DISC (%),Right,3.0,"#N/A","#N/A",50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,10.0
80d29aa9-cda6-4007-b33a-ff4c69e7f4b5,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,10.0
d475cb70-2ee9-4062-9d4f-5a616631d918,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,15.0
df546fe3-36aa-42f7-8f07-060792643215,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0e5cddc6-1654-41aa-b9e4-8f037a2bb20f,"#N/A",3.0,false,10.0
